GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
2747914,160,27,,,,,,Oak Park Heights city,4339,2039,3957,1581,4339,3957
2748058,160,27,,,,,,Odessa city,135,68,113,66,135,113
2748094,160,27,,,,,,Odin city,106,64,125,66,106,125
2748184,160,27,,,,,,Okabena city,188,86,185,87,188,185
2748202,160,27,,,,,,Oklee city,435,225,396,229,435,396
2748256,160,27,,,,,,Olivia city,2484,1142,2570,1178,2484,2570
2748580,160,27,,,,,,Orono city,7437,3209,7538,2909,7437,7538
2748598,160,27,,,,,,Oronoco city,1300,477,883,343,1300,883
2748634,160,27,,,,,,Orr city,267,152,249,135,267,249
2748706,160,27,,,,,,Ortonville city,1916,1090,2158,1125,1916,2158
2748760,160,27,,,,,,Osage CDP,323,213,,,323,
2748796,160,27,,,,,,Osakis city,1740,942,1567,760,1740,1567
2748976,160,27,,,,,,Oslo city,330,158,347,162,330,347
2749012,160,27,,,,,,Osseo city,2430,1217,2434,1060,2430,2434
2749030,160,27,,,,,,Ostrander city,254,117,212,109,254,212
2749138,160,27,,,,,,Otsego city,13571,5022,6389,2120,13571,6389
2749210,160,27,,,,,,Ottertail city,572,401,451,323,572,451
2749300,160,27,,,,,,Owatonna city,25599,10724,22434,8940,25599,22434
2749498,160,27,,,,,,Palisade city,167,85,118,67,167,118
2750056,160,27,,,,,,Pease city,242,93,163,67,242,163
2750164,160,27,,,,,,Pelican Rapids city,2464,984,2374,962,2464,2374
2750200,160,27,,,,,,Pemberton city,247,98,246,86,247,246
2750506,160,27,,,,,,Perley city,92,53,121,61,92,121
2750596,160,27,,,,,,Peterson city,199,108,269,118,199,269
2750902,160,27,,,,,,Pillager city,469,218,420,181,469,420
2751028,160,27,,,,,,Pine Bend CDP,28,11,,,28,
2751136,160,27,,,,,,Pine Island city,3263,1399,2337,890,3263,2337
2751234,160,27,,,,,,Pine Point CDP,338,101,337,110,338,337
2751280,160,27,,,,,,Pine River city,944,457,928,464,944,928
2751316,160,27,,,,,,Pine Springs city,408,149,421,141,408,421
2751388,160,27,,,,,,Pipestone city,4317,2134,4280,2097,4317,4280
